<<<<<<< HEAD
23360 47
6225 33
11010 43
5058 43
21510 43
22766 47
1381 43
15398 48
15587 38
23289 43
7748 43
4937 50
16323 50
24313 45
10203 37
19298 40
26800 40
17376 38
26362 34
18236 39
7708 44
22786 39
9727 34
26494 30
21813 36
2772 42
29062 41
26298 53
28594 49
27209 40
23183 42
26693 51
13746 35
22807 34
1698 42
18736 42
24175 41
4077 39
15467 44
4049 42
17205 45
1463 50
11009 44
17468 38
23060 37
28852 44
20774 33
12360 39
12137 44
19110 40
5971 49
29783 44
13281 39
12490 53
20710 35
9903 36
6136 41
28574 35
15407 42
6029 47
19702 41
17980 48
3793 44
28254 52
20460 43
15257 33
21477 47
5019 33
16854 51
29342 44
14736 51
26916 51
12554 45
22509 36
26230 46
27725 38
8699 37
23062 44
9418 42
23104 42
25328 43
10979 57
25842 40
7354 39
14375 53
29397 45
28930 40
13512 42
20982 40
8134 39
4698 39
1393 40
6416 48
28547 36
13610 28
22405 40
4642 40
21679 42
8969 40
8708 30
5500 56
14122 43
25443 46
17868 44
589 51
8072 34
6825 53
12277 44
3221 49
23883 28
4751 48
15552 33
21338 40
14857 44
29941 46
15655 44
21927 43
5218 43
24552 40
6749 40
27362 51
23018 43
18434 56
28746 43
28141 45
20304 35
3489 40
15132 48
2719 21
13067 34
28892 44
25971 47
23589 38
13424 52
5742 50
23999 32
9355 43
6080 46
2630 34
27417 46
15354 38
20399 49
13795 44
3355 43
374 41
18392 40
8833 37
11066 52
24192 54
27593 44
17489 50
3668 38
20023 48
26147 53
24730 49
1663 37
27516 45
15451 41
10229 38
20638 46
15686 49
13446 38
2442 55
29335 42
11087 40
9042 44
761 39
2803 49
24650 66
5269 49
19662 51
18532 53
10925 47
25546 34
6420 33
21340 41
5920 47
23901 48
18812 54
5385 38
4470 50
26175 40
1226 40
28874 39
4856 60
5074 43
26818 41
9055 51
27517 39
17460 46
9757 35
21642 35
25901 51
17526 43
15166 39
177 45
932 38
4384 46
5170 47
16854 43
16188 40
27199 44
7372 49
26962 32
18705 42
15317 50
27287 29
14571 55
10276 53
14769 37
28528 40
27064 40
26329 46
6213 35
14132 31
950 37
13810 42
2749 45
9058 50
785 30
16050 43
29025 36
17828 35
27184 39
21365 29
5842 44
2352 45
28714 46
13004 39
6810 36
13244 37
15978 40
1259 32
15779 39
3405 39
14371 36
3765 51
25477 39
15293 44
4892 42
17592 37
19344 36
13123 41
29954 43
26331 49
19638 37
28284 47
13389 50
7305 43
25796 52
10442 48
20782 43
18060 29
17531 42
18219 42
17930 31
27511 31
27401 40
11905 43
1491 42
15602 46
17467 55
16439 43
16940 36
25890 39
4289 40
15852 46
24607 45
18320 53
15766 39
20514 39
24987 46
24408 46
2332 39
25860 43
19545 42
4252 49
23643 60
25781 38
23018 44
24146 40
20280 46
25598 56
27656 38
25121 39
8005 46
18415 42
18971 48
26495 47
19834 39
24726 45
16374 46
14415 42
28619 38
8453 40
20612 37
3512 30
19899 42
3005 31
23071 52
80 48
11614 53
8648 43
29931 39
17689 40
3697 30
7252 55
6701 33
10816 41
16771 46
22564 36
25928 46
8928 37
4982 38
3300 43
22816 36
22541 50
3577 37
22810 36
127 44
3977 38
27037 41
22599 33
25038 44
29003 52
28482 42
27800 41
26659 30
11118 38
25693 41
10619 36
13582 36
28100 50
13343 50
2956 40
26241 34
10365 34
15055 41
21696 35
28906 49
22910 52
2499 43
9736 39
899 36
6957 39
2168 40
2470 41
6080 45
23961 38
3443 41
13397 54
23750 51
3414 49
4318 60
3566 43
22959 31
16764 32
13562 39
27875 36
25710 37
22927 23
20187 48
16662 40
12739 33
16132 44
2885 47
23710 48
28431 49
24364 52
13569 47
21601 32
29000 45
6314 35
20317 40
22379 40
10331 45
6655 39
5862 43
25687 43
28797 27
23455 51
28319 49
27961 40
10029 40
7841 39
21047 46
4811 40
6903 39
14414 26
8484 32
24525 33
29041 45
11543 59
24355 42
23572 41
1791 51
13471 51
17980 43
5133 47
23062 43
21151 37
3349 36
9021 43
11424 48
15924 44
4318 42
5869 38
8669 46
29477 41
17617 50
10188 39
14455 45
15126 43
3401 50
5774 46
19787 33
9163 47
20798 39
13040 49
29919 42
16961 52
3328 40
11114 56
15750 45
26623 42
16148 49
8016 49
5998 40
3305 50
23896 39
19845 50
298 43
19769 39
4348 42
24784 37
25955 53
3476 49
9279 38
19700 45
18333 57
17319 37
29786 50
6380 36
6802 43
20210 39
8827 27
788 44
4789 42
24942 43
9000 41
2362 31
23823 35
14176 41
18463 38
1095 43
7435 40
11034 41
22514 49
28140 33
1499 42
8567 48
2631 35
802 38
22955 36
12370 41
18756 51
25125 51
8948 34
22773 33
24246 50
28802 40
13144 38
27433 38
16294 50
3842 40
5459 35
1674 53
27632 47
12327 46
15544 44
2681 44
8080 40
9670 44
19196 32
4573 42
26883 41
18075 41
372 32
14515 37
8922 37
8332 49
9674 48
25283 45
19622 46
10743 30
3059 51
7253 52
4897 36
5814 46
22081 47
22406 37
3616 34
2352 44
19252 40
14840 42
20909 30
4832 48
19035 39
26317 50
1210 40
3280 42
26605 39
1611 35
20109 47
7521 40
12869 32
16880 37
4036 39
3387 34
25192 37
24845 34
16383 46
11473 44
19014 42
23422 28
27958 31
9134 43
25892 42
19406 31
8630 38
13791 47
18586 40
5982 36
25723 56
20103 37
13566 40
12239 38
13016 32
15292 41
5742 49
14364 45
12272 41
15799 44
9374 45
21984 44
26953 41
24517 38
22914 47
19012 42
15162 42
1153 42
4061 43
16496 52
5972 48
8692 43
4483 29
15245 41
10086 43
16608 56
21550 54
8538 42
2237 54
16293 46
6997 40
19848 45
8923 52
26193 35
9676 63
17419 39
20884 51
13356 48
1511 46
6573 47
25303 40
24486 47
12404 53
21852 49
27915 52
3189 34
1136 39
14552 47
10126 40
20860 52
5356 46
6803 41
10847 47
16627 44
14383 37
11155 35
7020 56
16911 47
13995 39
4619 41
828 48
17486 40
12389 50
28312 30
5174 41
10470 48
1289 40
8176 42
2440 42
15352 38
15609 50
18831 39
24524 39
7090 47
9201 41
1359 35
24884 39
25372 42
23063 38
26718 49
15753 40
27420 30
25842 35
29625 36
25771 50
2177 43
24721 42
13046 46
5054 52
16344 41
17605 31
915 35
6233 43
2597 47
15113 49
6373 47
21123 52
17306 57
3149 45
24718 35
23542 40
29312 40
23748 36
24253 41
9350 45
22701 34
23531 32
4530 55
14979 41
5091 46
5432 42
29844 39
5660 50
28745 36
20350 36
26500 48
24139 45
4756 43
11073 45
15155 37
9964 46
20707 43
1230 33
4526 40
18399 46
9543 47
17043 50
9943 50
26690 50
